theta_deg,AF_linear,AF_dB
57.000,0.022943,-32.7869
57.250,0.020266,-33.8646
57.500,0.017518,-35.1301
57.750,0.014706,-36.6501
58.000,0.011836,-38.5361
58.250,0.008914,-40.9984
58.500,0.005949,-44.5114
58.750,0.002947,-50.6120
59.000,0.000083,-81.6233
59.250,0.003133,-50.0803
59.500,0.006195,-44.1592
59.750,0.009259,-40.6683
60.000,0.012317,-38.1897
60.250,0.015359,-36.2727
60.500,0.018375,-34.7155
60.750,0.021355,-33.4101
61.000,0.024288,-32.2921
61.250,0.027165,-31.3199
61.500,0.029974,-30.4652
61.750,0.032704,-29.7081
62.000,0.035343,-29.0338
62.250,0.037882,-28.4314
62.500,0.040307,-27.8924
62.750,0.042607,-27.4104
63.000,0.044771,-26.9801
63.250,0.046786,-26.5978
63.500,0.048640,-26.2602
63.750,0.050321,-25.9650
64.000,0.051817,-25.7105
64.250,0.053116,-25.4954
64.500,0.054206,-25.3190
64.750,0.055075,-25.1809
65.000,0.055711,-25.0812
65.250,0.056101,-25.0206
65.500,0.056234,-25.0000
65.750,0.056099,-25.0209
66.000,0.055684,-25.0855
66.250,0.054977,-25.1964
66.500,0.053968,-25.3572
66.750,0.052647,-25.5726
67.000,0.051002,-25.8483
67.250,0.049024,-26.1919
67.500,0.046702,-26.6133
67.750,0.044028,-27.1254
68.000,0.040992,-27.7460
68.250,0.037587,-28.4993
68.500,0.033803,-29.4209
68.750,0.029634,-30.5642
69.000,0.025072,-32.0162
69.250,0.020111,-33.9312
69.500,0.014746,-36.6268
69.750,0.008969,-40.9447
70.000,0.002778,-51.1244
70.250,0.003832,-48.3319
70.500,0.010864,-39.2799
70.750,0.018322,-34.7405
71.000,0.026207,-31.6317
71.250,0.034520,-29.2386
71.500,0.043262,-27.2779
71.750,0.052432,-25.6080
72.000,0.062030,-24.1479
72.250,0.072054,-22.8468
72.500,0.082502,-21.6708
72.750,0.093369,-20.5960
73.000,0.104651,-19.6051
73.250,0.116344,-18.6851
73.500,0.128442,-17.8259
73.750,0.140938,-17.0194
74.000,0.153824,-16.2595
74.250,0.167092,-15.5409
74.500,0.180733,-14.8592
74.750,0.194737,-14.2110
75.000,0.209093,-13.5932
75.250,0.223790,-13.0032
75.500,0.238814,-12.4388
75.750,0.254153,-11.8981
76.000,0.269792,-11.3794
76.250,0.285717,-10.8813
76.500,0.301912,-10.4024
76.750,0.318362,-9.9416
77.000,0.335048,-9.4979
77.250,0.351954,-9.0703
77.500,0.369060,-8.6580
77.750,0.386349,-8.2604
78.000,0.403801,-7.8767
78.250,0.421395,-7.5062
78.500,0.439110,-7.1485
78.750,0.456926,-6.8031
79.000,0.474822,-6.4694
79.250,0.492774,-6.1470
79.500,0.510761,-5.8356
79.750,0.528759,-5.5348
80.000,0.546746,-5.2443
80.250,0.564698,-4.9637
80.500,0.582592,-4.6927
80.750,0.600403,-4.4311
81.000,0.618108,-4.1787
81.250,0.635682,-3.9352
81.500,0.653102,-3.7004
81.750,0.670343,-3.4741
82.000,0.687381,-3.2560
82.250,0.704192,-3.0462
82.500,0.720752,-2.8443
82.750,0.737038,-2.6502
83.000,0.753025,-2.4638
83.250,0.768691,-2.2850
83.500,0.784013,-2.1135
83.750,0.798967,-1.9494
84.000,0.813533,-1.7925
84.250,0.827688,-1.6427
84.500,0.841411,-1.4998
84.750,0.854681,-1.3639
85.000,0.867479,-1.2348
85.250,0.879784,-1.1125
85.500,0.891578,-0.9968
85.750,0.902843,-0.8878
86.000,0.913562,-0.7852
86.250,0.923718,-0.6892
86.500,0.933295,-0.5996
86.750,0.942279,-0.5164
87.000,0.950655,-0.4395
87.250,0.958410,-0.3690
87.500,0.965533,-0.3047
87.750,0.972011,-0.2466
88.000,0.977836,-0.1947
88.250,0.982997,-0.1490
88.500,0.987486,-0.1094
88.750,0.991297,-0.0759
89.000,0.994424,-0.0486
89.250,0.996860,-0.0273
89.500,0.998604,-0.0121
89.750,0.999651,-0.0030
90.000,1.000000,0.0000
90.250,0.999651,-0.0030
90.500,0.998604,-0.0121
